TOP|20101217000001|2010-12-17_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|981a3850-0970-11e0-baec-00e0815fe92e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 16:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:39|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101217000004.333|20101217005956.000|SEG|Type=Story
20101217000004.333|20101217000005.167|CCO|OU ARE TO 
20101217000005.167|20101217000006.000|CCO|SUFFER HEALTH EFFECTS, SUCH 
20101217000006.000|20101217000006.833|CCO|AS ASTHMA.
20101217000006.833|20101217000007.667|CCO|NOW FOR THE FIRST TIME, 
20101217000007.667|20101217000008.500|CCO|LOCAL SCIENTISTS SAY THERE'S
20101217000008.500|20101217000009.333|CCO|A CONNECTION BETWEEN AIR 
20101217000009.333|20101217000010.167|CCO|POLLUTION AND THE RISK OF 
20101217000010.167|20101217000011.000|CCO|AUTISM.
20101217000011.000|20101217000012.250|CCO|>> WHEN CHRISTINA WAS 
20101217000012.250|20101217000013.500|CCO|PREGNANT, SHE LIVED RIGHT 
20101217000013.500|20101217000014.750|CCO|UNDER THE 2 FREEWAY IN 
20101217000014.750|20101217000016.000|CCO|GLENDALE.
20101217000016.000|20101217000017.250|CCO|NOW HER THREE-YEAR-OLD SON 
20101217000017.250|20101217000018.500|CCO|IS BEING EVALUATED FOR 
20101217000018.500|20101217000019.750|CCO|AUTISM.
20101217000019.750|20101217000021.000|CCO|>> A NEW STUDY LINKING 
20101217000021.000|20101217000022.667|CCO|FREEWAY TRAFFIC AND AUTISM 
20101217000022.667|20101217000024.333|CCO|HAS HER WONDERING.
20101217000024.333|20101217000026.000|CCO|>> KNOWING IT MYSELF, I 
20101217000026.000|20101217000027.667|CCO|WOULD BE RELUCTANT TO LIVE 
20101217000027.667|20101217000029.333|CCO|BY A FREEWAY AGAIN, JUST 
20101217000029.333|20101217000031.000|CCO|HEARING THAT.
20101217000031.000|20101217000032.111|CCO|>> RESEARCHERS FOLLOWED 600 
20101217000032.111|20101217000033.222|CCO|FAMILIES IN THE L.A., 
20101217000033.222|20101217000034.333|CCO|SACRAMENTO AND SAN FRANCISCO
20101217000034.333|20101217000035.444|CCO|AREAS.
20101217000035.444|20101217000036.556|CCO|THEY FOUND WOMEN WHO LIVED 
20101217000036.556|20101217000037.667|CCO|ABOUT A THOUSAND YARDS FROM 
20101217000037.667|20101217000038.778|CCO|A FREEWAY AT THE TIME THEY 
20101217000038.778|20101217000039.889|CCO|WERE PREGNANT WERE MORE 
20101217000039.889|20101217000041.000|CCO|LIKELY TO HAVE A CHILD 
20101217000041.000|20101217000042.429|CCO|DIAGNOSED WITH AUTISM.
20101217000042.429|20101217000043.857|CCO|>> IT SEEMS LIKE AIR 
20101217000043.857|20101217000045.286|CCO|POLLUTION COULD POTENTIALLY 
20101217000045.286|20101217000046.714|CCO|AFFECT THE BRAIN AND BE 
20101217000046.714|20101217000048.143|CCO|RELATED TO AUTISM.
20101217000048.143|20101217000049.571|CCO|THERE'S NICE DATA COMING OUT
20101217000049.571|20101217000051.000|CCO|OF ANIMAL STUDIES THAT SEEM 
20101217000051.000|20101217000052.250|CCO|TO INDICATE THAT EXPOSURE TO
20101217000052.250|20101217000053.500|CCO|AIR POLLUTION IS ASSOCIATED 
