TOP|20101204070000|2010-12-04_0700_US_FOX-News_Glenn_Beck
COL|Communication Studies Archive, UCLA 
UID|f405b114-7a2f-11e0-93e4-001fc65c7848
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-03 23:00 America/Los_Angeles
20101204070016.000|20101204070016.000|OTS|
20101204070026.000|20101204070026.000|OTS|
20101204070036.000|20101204070036.000|OTS|
20101204070046.000|20101204070046.000|OTS|
20101204070056.000|20101204070056.000|OTS|
20101204070106.000|20101204070106.000|OTS|
20101204070116.000|20101204070116.000|OTS|
20101204070126.000|20101204070126.000|OTS|
20101204070136.000|20101204070136.000|OTS|
20101204070146.000|20101204070146.000|OTS|
20101204070156.000|20101204070156.000|OTS|
20101204070206.000|20101204070206.000|OTS|
20101204070216.000|20101204070216.000|OTS|
20101204070226.000|20101204070226.000|OTS|
20101204070236.000|20101204070236.000|OTS|
20101204070246.000|20101204070246.000|OTS|
20101204070256.000|20101204070256.000|OTS|
20101204070306.000|20101204070306.000|OTS|
20101204070316.000|20101204070316.000|OTS|
20101204070326.000|20101204070326.000|OTS|
20101204070336.000|20101204070336.000|OTS|
20101204070346.000|20101204070346.000|OTS|
20101204070356.000|20101204070356.000|OTS|
20101204070406.000|20101204070406.000|OTS|
20101204070416.000|20101204070416.000|OTS|
20101204070426.000|20101204070426.000|OTS|
20101204070436.000|20101204070436.000|OTS|
20101204070446.000|20101204070446.000|OTS|
20101204070456.000|20101204070456.000|OTS|
20101204070506.000|20101204070506.000|OTS|
20101204070516.000|20101204070516.000|OTS|
20101204070526.000|20101204070526.000|OTS|
20101204070536.000|20101204070536.000|OTS|
20101204070546.000|20101204070546.000|OTS|
20101204070556.000|20101204070556.000|OTS|
20101204070606.000|20101204070606.000|OTS|
20101204070616.000|20101204070616.000|OTS|
20101204070626.000|20101204070626.000|OTS|
20101204070636.000|20101204070636.000|OTS|
20101204070646.000|20101204070646.000|OTS|
20101204070656.000|20101204070656.000|OTS|
20101204070706.000|20101204070706.000|OTS|
20101204070716.000|20101204070716.000|OTS|
