TOP|20110118020002|2011-01-18_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|d46ef130-22aa-11e0-bfc8-001517add6fa
DUR|0:29:48.78
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-17 18:00 America/Los_Angeles
SEG_01|2014-02-14 18:22:28|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110118020004.000|20110118022227.000|SEG|Type=Story
20110118020004.000|20110118020006.000|CC1|>> SHE CAME IN SHE WAS          
20110118020006.000|20110118020008.000|CC1|CRYING AND ASKED FOR HELP.      
20110118020008.000|20110118020009.000|CC1|>> Reporter: SHE TOLD THE       
20110118020009.000|20110118020010.000|CC1|MANAGER THAT DERAS STRUCK       
20110118020010.000|20110118020013.000|CC1|THE BABY ON THE CHEST.          
20110118020013.000|20110118020015.000|CC1|>> KILLED THE LITTLE GIRL.      
20110118020015.000|20110118020016.000|CC1|HER HUSBAND.                    
20110118020016.000|20110118020018.000|CC1|>> Reporter: WORKERS HID HER    
20110118020018.000|20110118020020.000|CC1|IN THE RESTROOM AS THEY SAW     
20110118020020.000|20110118020021.000|CC1|DERAS COME UP THE STREET.       
20110118020021.000|20110118020023.000|CC1|>> I SAW HIM ALL RUNNING        
20110118020023.000|20110118020026.000|CC1|THAT WAY, LOOKING FOR HIS       
20110118020026.000|20110118020027.000|CC1|KID.                            
20110118020027.000|20110118020028.000|CC1|>> Reporter: ABOUT WHAT WAS     
20110118020028.000|20110118020029.000|CC1|HE SAYING?                      
20110118020029.000|20110118020031.000|CC1|>> HE DIDN'T SAY ANYTHING.      
20110118020031.000|20110118020032.000|CC1|>> Reporter: THE WIFE WAS       
20110118020032.000|20110118020033.000|CC1|ANGERED ABOUT POLICE            
20110118020033.000|20110118020035.000|CC1|POSSIBLY IMPOUNDING THE CAR     
20110118020035.000|20110118020038.000|CC1|HE JUST BOUGHT, ANDER DID       
20110118020038.000|20110118020040.000|CC1|RAS HAD RAPED -- AND SAID       
20110118020040.000|20110118020043.000|CC1|THAT DERAS HAD RAPED HER.       
20110118020043.000|20110118020047.000|CC1|>> SAID THAT, TRIED TO MAKE     
20110118020047.000|20110118020050.000|CC1|LOVE WITH HER, AND I            
20110118020050.000|20110118020052.000|CC1|DON'T KNOW WHAT HAPPENED.       
20110118020052.000|20110118020053.000|CC1|>> Reporter: IN THE 5 MONTHS    
20110118020053.000|20110118020054.000|CC1|THEY LIVED HERE, THERE HAD      
20110118020054.000|20110118020057.000|CC1|BEEN NO SIGN OF TROUBLE,        
20110118020057.000|20110118020100.000|CC1|THEY SPLIT THEIR WORK HOURS     
20110118020100.000|20110118020102.000|CC1|SO ONE COULD BE HOME TO BABY    
20110118020102.000|20110118020105.000|CC1|SIT THE 2-YEAR-OLD BOY AND      
20110118020105.000|20110118020107.000|CC1|10-MONTH-OLD GIRL.              
20110118020107.000|20110118020109.000|CC1|HE DOES NOT HAVE A DRIVER       
20110118020109.000|20110118020111.000|CC1|LICENSE BUT HE PLAY BE WITH     
20110118020111.000|20110118020114.000|CC1|HIS BLACK SENTRA LEAVING        
20110118020114.000|20110118020116.000|CC1|BEHIND A LOT OF HEARTACHE.      
20110118020116.000|20110118020119.000|CC1|>> SHE WAS SO LITTLE AND        
20110118020119.000|20110118020120.000|CC1|DEFENSELESS.                    
20110118020120.000|20110118020121.000|CC1|>> Reporter: IF YOU HAVE ANY    
20110118020121.000|20110118020122.000|CC1|INFORMATION ON THE              
20110118020122.000|20110118020123.000|CC1|WHEREABOUTS OF DERAS, YOU       
20110118020123.000|20110118020125.000|CC1|ARE ASKED TO CALL THE NUMBER    
20110118020125.000|20110118020133.000|CC1|ON YOUR SCREEN.                 
20110118020133.000|20110118020138.000|CC1|THE WIFE REMAINS INY IS         
20110118020138.000|20110118020139.000|CC1|COLLUSION.                      
20110118020139.000|20110118020141.000|CC1|MIRIAM HERNANDEZ, "ABC7         
20110118020141.000|20110118020142.000|CC1|EYEWITNESS NEWS."               
20110118020142.000|20110118020144.000|CC1|ELLEN: AT 6:00, TRAGEDY IN      
20110118020144.000|20110118020146.000|CC1|CENTRAL CALIFORNIA, 4 FAMILY    
20110118020146.000|20110118020148.000|CC1|MEMBERS ARE FOUND DEAD OF       
20110118020148.000|20110118020150.000|CC1|CARBON MONOXIDE POISONING IN    
20110118020150.000|20110118020154.000|CC1|OAK HURST, WEST OF YOSEMITE     
20110118020154.000|20110118020156.000|CC1|NATIONAL PARK, THEY WERE        
20110118020156.000|20110118020158.000|CC1|USING A POWERGEN RATE OR TO     
20110118020158.000|20110118020159.000|CC1|PROVIDE POWER AND HEAT AFTER    
20110118020159.000|20110118020201.000|CC1|THE ELECTRICITY OF SHUT OFF     
20110118020201.000|20110118020204.000|CC1|LAST WEEK, A 60-YEAR-OLD        
20110118020204.000|20110118020206.000|CC1|WOMAN, 35-YEAR-OLD MAN AND      
20110118020206.000|20110118020209.000|CC1|8-YEAR-OLD GIRL AND HER         
20110118020209.000|20110118020211.000|CC1|10-YEAR-OLD SISTER ALL DIED,    
20110118020211.000|20110118020213.000|CC1|THE 27-YEAR-OLD MOTHER          
20110118020213.000|20110118020214.000|CC1|SURVIVED AFTER SHE WENT         
20110118020214.000|20110118020215.000|CC1|OUTSIDE TO HAVE A               
20110118020215.000|20110118020216.000|CC1|CIGARETTE.                      
20110118020216.000|20110118020217.000|CC1|DAVID: THE NUMBER OF MURDERS    
20110118020217.000|20110118020220.000|CC1|IN L.A. COUNTY DROPPED LAST     
20110118020220.000|20110118020221.000|CC1|YEAR SAYING THAT HOMICIDES      
20110118020221.000|20110118020224.000|CC1|FELL ALMOST 16% IN 2010         
20110118020224.000|20110118020226.000|CC1|COMPARED TO PREVIOUS YEAR,      
20110118020226.000|20110118020228.000|CC1|WHICH DOWN 3% FROM 5 YEARS      
20110118020228.000|20110118020230.000|CC1|OKAY THE LOWEST NUMBER OF       
20110118020230.000|20110118020234.000|CC1|MURDERS REPORTED IN COUNTY      
20110118020234.000|20110118020238.000|CC1|SINCE 1972.                     
20110118020238.000|20110118020240.000|CC1|>> A DEADLY CRASH IN NEWPORT    
20110118020240.000|20110118020241.000|CC1|BEACH AREA OVER THE WEEKEND     
20110118020241.000|20110118020244.000|CC1|IS BLAMED ON A DRIVER WHO       
20110118020244.000|20110118020247.000|CC1|SPED ON ON COMING TRAFFIC,      
20110118020247.000|20110118020249.000|CC1|JULIA ALLEN CAUSED CRASH IN     
20110118020249.000|20110118020251.000|CC1|NEWPORT BEACH THAT KILLED       
20110118020251.000|20110118020253.000|CC1|HERSELF AND 2 OTHERS, SAYING    
20110118020253.000|20110118020255.000|CC1|SHE WAS SPEEDING ON PACIFIC     
20110118020255.000|20110118020256.000|CC1|COAST HIGHWAY, WHEN HE          
20110118020256.000|20110118020257.000|CC1|CROSSED CENTER LINE,            
20110118020257.000|20110118020258.000|CC1|COLLIDING WITH TWO CARS AND     
20110118020258.000|20110118020300.000|CC1|A TRUCK, TWO PEOPLE IN THE      
20110118020300.000|20110118020303.000|CC1|TRUCK WERE KILLED.              
20110118020303.000|20110118020304.000|CC1|THREE OTHER PEOPLE WERE         
20110118020304.000|20110118020306.000|CC1|INJURED BUT THEY ARE TO         
20110118020306.000|20110118020306.000|CC1|SURVIVE.                        
20110118020306.000|20110118020307.000|CC1|ELLEN: ALSO, CALIFORNIA         
20110118020307.000|20110118020308.000|CC1|HIGHWAY PATROL OFFICER          
20110118020308.000|20110118020309.000|CC1|CHARGED WITH FATALLY            
20110118020309.000|20110118020311.000|CC1|SHOOTING HER HUSBAND IS         
20110118020311.000|20110118020314.000|CC1|BEING SUED BY HIS               
20110118020314.000|20110118020316.000|CC1|STEPSON, TIMES REPORT THAT      
20110118020316.000|20110118020318.000|CC1|MARCUS LEMON'S TEENAGE SON      
20110118020318.000|20110118020320.000|CC1|IS SUING OFFICER JOHNSON        
20110118020320.000|20110118020323.000|CC1|LAST YEAR FOR WRONGFUL          
20110118020323.000|20110118020324.000|CC1|DEATH.                          
20110118020324.000|20110118020326.000|CC1|JOHNSON HAS PLEADED NOT         
20110118020326.000|20110118020329.000|CC1|GUILTY TO SHOOTING HER          
20110118020329.000|20110118020330.000|CC1|HUSBAND SAYING SHE WAS          
20110118020330.000|20110118020332.000|CC1|REACTING IN SELF-DEFENSE,       
20110118020332.000|20110118020334.000|CC1|JOHNSON IS HELD ON $2           
20110118020334.000|20110118020335.000|CC1|MILLION BAIL.                   
20110118020335.000|20110118020336.000|CC1|DAVID: A DIVING DEATH OFF OF    
20110118020336.000|20110118020340.000|CC1|THE COAST OF CATALINA           
20110118020340.000|20110118020341.000|CC1|ISLAND, A 61-YEAR-OLD MAN       
20110118020341.000|20110118020343.000|CC1|WHILE ON A DIVE WITH HIS        
20110118020343.000|20110118020348.000|CC1|INTRUSION OAR -- INSTRUCT       
20110118020348.000|20110118020349.000|CC1|OR.                             
20110118020349.000|20110118020351.000|CC1|HE WAS PRONOUNCED DEAD.         
20110118020351.000|20110118020354.000|CC1|L.A. COUNTY CORONER IS          
20110118020354.000|20110118020356.000|CC1|CONDUCTING AN AUTOPSY.          
20110118020356.000|20110118020401.000|CC1|>> AN EXPENSIVE HOME IN         
20110118020401.000|20110118020403.000|CC1|HUNTINGTON BEACH THAT WAS IN    
20110118020403.000|20110118020404.000|CC1|FORECLOSURE HAS BEEN            
20110118020404.000|20110118020406.000|CC1|COMPLETELY TRASHED.             
20110118020406.000|20110118020407.000|CC1|NO ONE HAS CLAIMED              
20110118020407.000|20110118020408.000|CC1|RESPONSIBILITY.                 
20110118020408.000|20110118020409.000|CC1|BUT IT WILL BE A LOT OF         
20110118020409.000|20110118020410.000|CC1|WORK.                           
20110118020410.000|20110118020411.000|CC1|>> THIS IS THE WORST DAMAGE     
20110118020411.000|20110118020412.000|CC1|I HAVE SEEN.                    
20110118020412.000|20110118020413.000|CC1|>> Reporter: THE 3,000          
20110118020413.000|20110118020416.000|CC1|SQUARE FOOT HOME IS             
20110118020416.000|20110118020416.000|CC1|TRASHED.                        
20110118020416.000|20110118020418.000|CC1|IT SITS IN A GATED COMMUNITY    
